name,origin,price,rating,type,varietal
Hall Napa Valley Cabernet Sauvignon 2016,"Napa Valley, California",59.99,Jeb Dunnuck 94 point rating,Red Wine,Cabernet Sauvignon
Hall Napa Valley Cabernet Sauvignon 2016,"Napa Valley, California",59.99,Wilfred Wong of Wine.com 93 point rating,Red Wine,Cabernet Sauvignon
Hall Napa Valley Cabernet Sauvignon 2016,"Napa Valley, California",59.99,Robert Parker's Wine Advocate 92 point rating,Red Wine,Cabernet Sauvignon
Hall Napa Valley Cabernet Sauvignon 2016,"Napa Valley, California",59.99,Wine Enthusiast 90 point rating,Red Wine,Cabernet Sauvignon
Viticcio Chianti Classico Riserva 2015,"Chianti Classico, Chianti, Tuscany, Italy",28.99,Wine Spectator 95 point rating,Red Wine,Sangiovese
Viticcio Chianti Classico Riserva 2015,"Chianti Classico, Chianti, Tuscany, Italy",28.99,James Suckling 92 point rating,Red Wine,Sangiovese
La Rioja Alta Vina Ardanza Reserva Seleccion Especial 2010,"Rioja, Spain",32.99,James Suckling 96 point rating,Red Wine,Tempranillo
La Rioja Alta Vina Ardanza Reserva Seleccion Especial 2010,"Rioja, Spain",32.99,Tim Atkin 95 point rating,Red Wine,Tempranillo
La Rioja Alta Vina Ardanza Reserva Seleccion Especial 2010,"Rioja, Spain",32.99,Robert Parker's Wine Advocate 95 point rating,Red Wine,Tempranillo
La Rioja Alta Vina Ardanza Reserva Seleccion Especial 2010,"Rioja, Spain",32.99,Wine Spectator 94 point rating,Red Wine,Tempranillo
La Rioja Alta Vina Ardanza Reserva Seleccion Especial 2010,"Rioja, Spain",32.99,Decanter 91 point rating,Red Wine,Tempranillo
Buena Vista Chateau Buena Vista Napa Valley Cabernet Sauvignon 2016,"Napa Valley, California",39.99,James Suckling 95 point rating,Red Wine,Cabernet Sauvignon
Buena Vista Chateau Buena Vista Napa Valley Cabernet Sauvignon 2016,"Napa Valley, California",39.99,Wilfred Wong of Wine.com 92 point rating,Red Wine,Cabernet Sauvignon
Argiano Brunello di Montalcino 2015,"Montalcino, Tuscany, Italy",54.99,James Suckling 95 point rating,Red Wine,Sangiovese
Argiano Brunello di Montalcino 2015,"Montalcino, Tuscany, Italy",54.99,Robert Parker's Wine Advocate 95 point rating,Red Wine,Sangiovese
Argiano Brunello di Montalcino 2015,"Montalcino, Tuscany, Italy",54.99,Wine Spectator 93 point rating,Red Wine,Sangiovese
Argiano Brunello di Montalcino 2015,"Montalcino, Tuscany, Italy",54.99,Decanter 90 point rating,Red Wine,Sangiovese
Chateau Castera 2015,"Medoc, Bordeaux, France",29.99,Decanter 97 point rating,Red Wine,Bordeaux Red Blends
Chateau Castera 2015,"Medoc, Bordeaux, France",29.99,Wilfred Wong of Wine.com 92 point rating,Red Wine,Bordeaux Red Blends
Torbreck Woodcutters Shiraz 2018,"Barossa Valley, Barossa, South Australia, Australia",23.99,James Suckling 94 point rating,Red Wine,Syrah/Shiraz
Torbreck Woodcutters Shiraz 2018,"Barossa Valley, Barossa, South Australia, Australia",23.99,Robert Parker's Wine Advocate 91 point rating,Red Wine,Syrah/Shiraz
Grgich Hills Estate Chardonnay 2016,"Napa Valley, California",39.99,Decanter 97 point rating,White Wine,Chardonnay
Grgich Hills Estate Chardonnay 2016,"Napa Valley, California",39.99,Wine Enthusiast 93 point rating,White Wine,Chardonnay
Grgich Hills Estate Chardonnay 2016,"Napa Valley, California",39.99,James Suckling 92 point rating,White Wine,Chardonnay
Grgich Hills Estate Chardonnay 2016,"Napa Valley, California",39.99,Robert Parker's Wine Advocate 92 point rating,White Wine,Chardonnay
